GenreID,GenreName,MovieCount,MovieCountPercent,MovieCountYoY,BoxOffice,BoxOfficePercent,BoxOfficeYoY,ShowCount,ShowCountPercent,ShowCountYoY,AudienceCount,AudienceCountPercent,AudienceCountYoY,year
35,舞台艺术片,2,0.42,0.0,185283.0,0.0,-97.16,251,0.0,-98.02,5304,0.0,-97.8,2015
29,歌舞,1,0.21,-75.0,56151.0,0.0,-96.31,117,0.0,-99.05,1828,0.0,-96.94,2015
50,灾难,1,0.21,0.0,629673401.0,1.42,3048.48,700914,1.28,895.26,16830361,1.31,2468.3,2015
12,剧情,113,22.38,21.51,2366457161.0,5.24,-17.26,5547378,7.33,60.4,74632522,5.49,-12.57,2016
1,爱情,95,18.81,-10.38,3773975603.0,8.36,-28.58,8189446,10.82,-11.0,122292457,8.99,-25.99,2016
4,动画,63,12.48,16.67,7075409567.0,15.68,66.16,12590117,16.64,95.74,222145950,16.33,77.28,2016
21,喜剧,63,12.48,-11.27,7966900213.0,17.65,-23.14,10673812,14.11,-10.58,233048363,17.14,-26.03,2016
5,动作,60,11.88,0.0,13987214072.0,30.99,11.72,21226334,28.06,54.77,414760803,30.5,19.47,2016
40,惊悚,58,11.49,65.71,630216117.0,1.4,137.89,2823335,3.73,116.55,21346163,1.57,141.78,2016
27,战争,16,3.17,6.67,676496226.0,1.5,44.91,1437188,1.9,415.7,20845513,1.53,81.15,2016
45,奇幻,14,2.77,100.0,6929894284.0,15.35,80.91,9515418,12.58,220.49,200340660,14.73,98.45,2016
13,科幻,11,2.18,22.22,1569394068.0,3.48,-60.45,3168979,4.19,-32.45,45255491,3.33,-57.17,2016
96,纪录片,6,1.19,-64.71,81045527.0,0.18,115.55,193288,0.26,132.6,2532806,0.19,135.88,2016
35,舞台艺术片,4,0.79,100.0,6096385.0,0.01,3190.31,27466,0.04,10842.63,200090,0.01,3672.44,2016
50,灾难,2,0.4,100.0,72681298.0,0.16,-88.46,263223,0.35,-62.45,2593316,0.19,-84.59,2016
