Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
136,612739,京城81号,412219679.0,390347,11649285,35,117.0
137,618964,极品飞车,411676920.0,496996,10705465,38,
138,614827,钟馗伏魔：雪妖魔灵,409238801.0,318724,10166323,40,
139,588446,建党伟业,409233031.0,318557,11852230,34,
140,624654,明日边缘,406416571.0,454226,10790512,37,
141,614577,北京爱情故事,405556662.0,460730,12049164,33,36.0
142,393925,变形金刚2,403664700.0,236358,12442474,32,
143,615434,驯龙高手2,403377471.0,445560,10843760,37,0.0
144,617702,道士下山,400784996.0,422635,9961697,40,
145,615499,疯狂原始人,394726025.0,376696,10706206,36,0.0
146,388774,超人：钢铁之躯,394490284.0,346801,9665777,40,0.0
147,644009,忍者神龟2：破影而出,393562982.0,528798,11465333,34,
148,566769,建国大业,393287237.0,228797,12303827,31,
149,643879,爱宠大机密,389234338.0,557021,12120452,32,0.0
150,612123,白发魔女传之明月天国,389157469.0,417854,10230129,38,
151,396577,忍者神龟：变种时代,387712663.0,546466,10490501,36,0.0
152,643383,爱丽丝梦游仙境2：镜中奇遇记,387129022.0,805134,11857230,32,
153,590370,地心历险记2：神秘岛,386546482.0,296962,9202886,42,
154,637814,爵迹,382879679.0,621841,11405147,33,0.0
155,629465,栀子花开,379008368.0,373444,11989346,31,
156,642886,荒野猎人,377401267.0,567234,12408338,30,
157,610088,007：大破天幕杀机,376154584.0,368068,10815423,34,
158,593912,一九四二,371134183.0,327637,10061568,36,
159,617763,火锅英雄,370542270.0,679563,11605339,31,0.0
160,626506,重返20岁,366124476.0,599780,11643449,31,0.0
161,631476,大话西游3,365932780.0,846813,11240099,32,8.0
162,392775,泰坦尼克号,359500000.0,0,18000000,19,
163,639871,我的少女时代,359472301.0,510908,12736050,28,0.0
164,630765,何以笙箫默,353515915.0,552973,10726955,32,
165,589309,星际迷航：暗黑无界,352976178.0,367940,8619558,40,
166,348955,侏罗纪公园,349469791.0,354574,9217190,37,0.0
